nr,filename,name,type,tapered_type,shape,shape_type,exact_stock_shape,diameter_mm,cutting_edge_height_mm,length_mm,shank_diameter_mm,flutes,angle_half_deg,included_angle_deg,tip_diameter_mm,tip_radius_mm,drill_point_angle_deg,product_id,description
96,3.000mm_Drill_PD30A.fctb,3.000mm Drill [PD30A],drill,,drill.fcstd,Drill,True,3.0,10.0,38,3.175,2,,,,,118.0,PD30A,Genmitsu drill [PD30A]
97,1.000mm_Ball_Nose_MC50A.fctb,1.000mm Ball Nose [MC50A],ball end mill,,ballend.fcstd,Ballend,True,1.0,4.0,38,3.175,2,,,,,,MC50A,"Genmitsu ball nose [MC50A], Titanium Coat"
98,1.500mm_Ball_Nose_MC50A.fctb,1.500mm Ball Nose [MC50A],ball end mill,,ballend.fcstd,Ballend,True,1.5,6.0,38,3.175,2,,,,,,MC50A,"Genmitsu ball nose [MC50A], Titanium Coat"
99,2.000mm_Ball_Nose_MC50A.fctb,2.000mm Ball Nose [MC50A],ball end mill,,ballend.fcstd,Ballend,True,2.0,8.0,38,3.175,2,,,,,,MC50A,"Genmitsu ball nose [MC50A], Titanium Coat"
100,2.500mm_Ball_Nose_MC50A.fctb,2.500mm Ball Nose [MC50A],ball end mill,,ballend.fcstd,Ballend,True,2.5,14.0,38,3.175,2,,,,,,MC50A,"Genmitsu ball nose [MC50A], Titanium Coat"
101,3.175mm_Ball_Nose_MC50A.fctb,3.175mm Ball Nose [MC50A],ball end mill,,ballend.fcstd,Ballend,True,3.175,17.0,38,3.175,2,,,,,,MC50A,"Genmitsu ball nose [MC50A], Titanium Coat"
102,20deg_V-Bit_0.100mm_Tip_MC50A.fctb,20deg V-Bit 0.100mm Tip [MC50A],chamfer mill,,v-bit.fcstd,VBit,True,3.175,18.0,38,3.175,2,10.0,20.0,0.1,,,MC50A,Genmitsu V 20° groove straight [MC50A]
103,30deg_V-Bit_0.100mm_Tip_MC50A.fctb,30deg V-Bit 0.100mm Tip [MC50A],chamfer mill,,v-bit.fcstd,VBit,True,3.175,18.0,38,3.175,2,15.0,30.0,0.1,,,MC50A,Genmitsu V 30° groove straight [MC50A]
104,45deg_V-Bit_0.100mm_Tip_MC50A.fctb,45deg V-Bit 0.100mm Tip [MC50A],chamfer mill,,v-bit.fcstd,VBit,True,3.175,18.0,38,3.175,2,22.5,45.0,0.1,,,MC50A,Genmitsu V 45° groove straight [MC50A]
105,60deg_V-Bit_0.100mm_Tip_MC50A.fctb,60deg V-Bit 0.100mm Tip [MC50A],chamfer mill,,v-bit.fcstd,VBit,True,3.175,18.0,38,3.175,2,30.0,60.0,0.1,,,MC50A,Genmitsu V 60° groove straight [MC50A]
106,90deg_V-Bit_0.100mm_Tip_MC50A.fctb,90deg V-Bit 0.100mm Tip [MC50A],chamfer mill,,v-bit.fcstd,VBit,True,3.175,18.0,38,3.175,2,45.0,90.0,0.1,,,MC50A,Genmitsu V 90° groove straight [MC50A]
107,1.100mm_Drill_MC50A.fctb,1.100mm Drill [MC50A],drill,,drill.fcstd,Drill,True,1.1,10.0,38,3.175,2,,,,,118.0,MC50A,"Genmitsu drill [MC50A], Nano Blue Coat"
108,1.200mm_Drill_MC50A.fctb,1.200mm Drill [MC50A],drill,,drill.fcstd,Drill,True,1.2,10.0,38,3.175,2,,,,,118.0,MC50A,"Genmitsu drill [MC50A], Nano Blue Coat"
109,1.300mm_Drill_MC50A.fctb,1.300mm Drill [MC50A],drill,,drill.fcstd,Drill,True,1.3,12.0,38,3.175,2,,,,,118.0,MC50A,"Genmitsu drill [MC50A], Nano Blue Coat"
110,1.400mm_Drill_MC50A.fctb,1.400mm Drill [MC50A],drill,,drill.fcstd,Drill,True,1.4,11.0,38,3.175,2,,,,,118.0,MC50A,"Genmitsu drill [MC50A], Nano Blue Coat"
111,1.500mm_Drill_MC50A.fctb,1.500mm Drill [MC50A],drill,,drill.fcstd,Drill,True,1.5,11.0,38,3.175,2,,,,,118.0,MC50A,"Genmitsu drill [MC50A], Nano Blue Coat"
112,1.600mm_Drill_MC50A.fctb,1.600mm Drill [MC50A],drill,,drill.fcstd,Drill,True,1.6,12.0,38,3.175,2,,,,,118.0,MC50A,"Genmitsu drill [MC50A], Nano Blue Coat"
113,1.700mm_Drill_MC50A.fctb,1.700mm Drill [MC50A],drill,,drill.fcstd,Drill,True,1.7,11.0,38,3.175,2,,,,,118.0,MC50A,"Genmitsu drill [MC50A], Nano Blue Coat"
114,1.800mm_Drill_MC50A.fctb,1.800mm Drill [MC50A],drill,,drill.fcstd,Drill,True,1.8,11.0,38,3.175,2,,,,,118.0,MC50A,"Genmitsu drill [MC50A], Nano Blue Coat"
